File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,7,Non-burst,Non-burst,2.0163,0,0.0,-62.74483,3.041279,-66.204,36.808,9.007576,215.79308,-126.52184,4.9476705,4809.919,-126967.01,358070.0,21.797987,1774.2543
cell104basal.abf,7,Non-burst,Non-burst,5.1969,0,0.0,-62.894085,2.8050873,-66.798,37.433,5.109655,100.95814,-326.86362,2.5694163,3846.7925,-121024.0,366200.03,17.653824,1769.6986
cell104basal.abf,7,Non-burst,Non-burst,6.1678999999999995,0,0.0,-63.53533,2.3684807,-66.391,24.58,5.991974,118.04966,-391.88187,-0.56779057,3693.5032,-125714.0,349629.97,13.61841,1459.9304
cell104basal.abf,7,Non-burst,Non-burst,1.6663999999999994,0,0.0,-62.996296,2.7103586,-65.484,23.048,8.681061,180.83517,-104.981255,-52.33977,3717.6912,-115397.0,11259.995,-7.3163915,200.20448
cell104basal.abf,8,Non-burst,Non-burst,0.9917,0,0.0,-64.09942,2.5486126,-65.922,35.15,16.245401,522.94037,-63.572285,101.22417,5355.5107,-9379.959,325854.03,34.076847,1830.7937
cell104basal.abf,8,Burst,Other,0.7101,22,0.030419047619047616,-45.102867,9.148232,-56.384,35.15,4.984247,28.430145,-32.034954,-17.263765,20395.994,-166680.0,259560.0,1.1421844,34.313515
cell104basal.abf,8,Burst,Other,0.24370000000000047,11,0.01966,-43.25036,10.888572,-55.821,37.496,4.2397184,19.438423,-10.547491,-57.23433,25408.55,-161050.0,247980.02,0.84568375,21.990667
cell104basal.abf,8,Burst,Other,1.2001999999999997,30,0.03724827586206897,-46.53089,8.608946,-56.853,35.557,5.2453194,33.06382,-55.848988,-15.739506,18485.643,-158554.0,258310.02,1.3785009,43.556034
cell104basal.abf,8,Burst,Other,0.4435000000000002,16,0.025833333333333333,-44.185165,9.724699,-56.29,36.088,4.621936,23.798105,-19.603523,-28.133032,21399.783,-154800.0,261432.0,0.89410144,28.833004
cell104basal.abf,8,Burst,Other,0.21110000000000007,9,0.016425000000000002,-43.88237,10.771933,-55.915,33.649,4.1750283,18.963581,-9.270821,-47.403984,24120.906,-142290.0,243297.02,0.75397605,22.037325
cell104basal.abf,8,Burst,Other,0.14470000000000027,7,0.014516666666666669,-42.372757,11.340685,-55.54,34.181,3.9409037,16.635443,-6.138402,-81.693115,26170.908,-147921.0,208582.0,0.7445353,18.733192
cell104basal.abf,8,Burst,Other,0.07859999999999978,4,0.013433333333333334,-41.762127,12.444979,-55.915,34.243,3.692721,14.738979,-3.284966,-244.99364,30459.607,-147603.0,248930.0,0.85915244,16.823326
cell104basal.abf,8,Burst,Other,0.5196999999999985,12,0.03538181818181818,-46.87359,8.656108,-55.289,34.806,5.2865334,33.578323,-24.363148,-20.642801,18160.414,-150109.02,228597.0,1.3790221,43.344593
cell104basal.abf,8,Burst,Other,0.3614999999999995,15,0.019707142857142857,-43.82511,10.363533,-56.791,36.401,4.2941203,20.323606,-15.85009,-39.275227,22862.293,-157924.0,256746.02,0.694143,24.265738
cell104basal.abf,8,Burst,Other,0.5473999999999997,18,0.02972941176470588,-45.207363,9.64762,-56.509,36.901,4.5683036,24.528824,-24.754063,-24.050066,20803.182,-157616.39,241420.02,0.9642872,31.30991
cell104basal.abf,8,Burst,Other,0.14639999999999986,6,0.01838,-43.063053,10.737727,-56.259,32.867,4.305239,20.3938,-6.306853,-118.20237,25876.738,-141043.02,258618.0,1.0181055,23.27042
cell104basal.abf,8,Non-burst,Non-burst,2.3859,0,0.0,-62.189888,3.0529158,-66.422,37.496,7.863936,172.56467,-148.38809,6.121377,4563.109,-123213.0,362129.97,22.135208,1865.6375
cell104basal.abf,8,Non-burst,Non-burst,2.9769999999999994,0,0.0,-63.809345,2.8979294,-67.048,34.65,7.3393617,149.44467,-189.96332,3.729385,4331.7627,-118834.0,343685.53,20.577528,1699.4841
cell104basal.abf,8,Non-burst,Non-burst,1.4121000000000006,0,0.0,-63.161823,3.6847296,-66.235,36.088,7.782551,144.40327,-89.20024,6.8649616,5293.7656,-126966.0,348996.03,20.924479,1530.2515
cell104basal.abf,8,Non-burst,Non-burst,0.9267000000000003,0,0.0,-60.869617,4.816122,-65.203,33.649,4.667518,62.632652,-56.416824,10.831991,5982.1416,-120090.0,313347.28,18.7667,1069.8235
cell104basal.abf,8,Non-burst,Non-burst,0.7858999999999998,0,0.0,-60.67975,4.733001,-65.109,34.181,5.4741898,76.638985,-47.697174,13.410103,6213.754,-119773.01,331172.0,19.542206,1170.2941
cell104basal.abf,8,Non-burst,Non-burst,0.7992999999999988,0,0.0,-59.368095,4.2325106,-63.42,22.36,5.0546765,70.900116,-47.45497,-4.578328,5908.4873,-120398.0,311790.03,17.888845,1110.2268
