File_Name,Sweep,Segment_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,9,Non-burst,0.23290000000000077,-57.493347,4.9090605,-61.982,27.551,8.154896,118.99174,-13.394239
cell104basal.abf,10,Non-burst,8.1454,-63.434124,1.4436307,-66.016,37.026,11.106562,601.82806,-516.7014
cell104basal.abf,10,Burst,1.0197000000000003,-46.49265,8.741424,-56.196,37.026,5.5080123,34.85323,-47.416397
cell104basal.abf,10,Non-burst,12.3348,-63.19541,1.7408414,-66.016,26.894,7.2166953,201.512,-779.50726
cell104basal.abf,11,Non-burst,7.4501,-63.516582,1.2912996,-65.922,38.528,16.760214,1036.9246,-473.21002
cell104basal.abf,11,Burst,1.7001999999999997,-47.70239,8.738194,-59.324,38.528,5.027291,33.519897,-81.11162
cell104basal.abf,11,Burst,1.3129000000000008,-46.884434,8.549248,-56.697,38.309,5.599627,36.853203,-61.562523
cell104basal.abf,11,Burst,0.4339000000000013,-45.370033,9.69232,-56.29,37.683,4.9834943,28.102068,-19.693758
cell104basal.abf,11,Non-burst,6.458500000000001,-62.29604,2.7089236,-67.204,38.309,4.367226,99.41308,-402.34842
cell104basal.abf,11,Non-burst,2.446999999999999,-60.825466,3.2748916,-65.453,37.683,5.023487,108.044014,-148.84923
cell104basal.abf,11,Non-burst,1.6972999999999985,-61.388653,2.8077118,-64.515,25.643,7.286457,157.31172,-104.19919
cell105basal.abf,0,Non-burst,21.4999,-68.11202,0.9850503,-71.176,-64.609,0.010811465,-0.5334661,-1464.4016
cell105basal.abf,1,Non-burst,2.3455,-69.56113,1.5752001,-71.176,44.845,29.60058,1681.656,-163.16136
cell105basal.abf,1,Burst,0.028900000000000148,-42.887318,21.899767,-63.545,44.845,2.4580722,5.925557,-1.2480087
cell105basal.abf,1,Burst,0.03520000000000012,-43.787727,20.246552,-63.17,46.127,2.7355623,7.766383,-1.5499457
cell105basal.abf,1,Burst,0.032399999999999984,-43.03533,21.086845,-62.357,47.065,2.6091528,6.8732862,-1.4029874
cell105basal.abf,1,Burst,0.054400000000000226,-44.93982,17.367207,-63.326,44.344,3.1577644,11.182798,-2.4466884
cell105basal.abf,1,Burst,0.045099999999999696,-43.549553,19.774048,-62.795,43.469,2.7943306,8.103115,-1.9725974
cell105basal.abf,1,Burst,0.04420000000000002,-43.272366,19.453064,-62.388,43.375,2.7398186,7.8918924,-1.9210875
cell105basal.abf,1,Burst,0.04940000000000033,-43.64168,18.592194,-63.264,46.002,2.918361,9.12868,-2.1645103
cell105basal.abf,1,Burst,0.030300000000000438,-42.289448,21.707426,-62.169,45.22,2.402374,5.524724,-1.2898288
cell105basal.abf,1,Burst,0.04470000000000063,-43.197456,19.523958,-62.764,44.063,2.7499433,7.896557,-1.9394054
cell105basal.abf,1,Burst,0.03810000000000002,-43.328487,19.243683,-62.232,43.437,2.7117364,7.7391376,-1.6534579
cell105basal.abf,1,Burst,0.03880000000000017,-42.37482,20.626776,-62.107,45.876,2.5397067,6.4280577,-1.6526132
cell105basal.abf,1,Burst,0.028600000000000847,-41.221867,22.30053,-61.262,45.845,2.3013673,4.8849254,-1.1872642
cell105basal.abf,1,Burst,0.043699999999999406,-42.301586,18.97083,-61.7,42.874,2.6632085,7.4222984,-1.8522849
cell105basal.abf,1,Burst,0.03389999999999915,-41.099392,21.35335,-61.888,41.53,2.3106203,5.0567408,-1.4013665
cell105basal.abf,1,Burst,0.03569999999999851,-41.835102,20.466137,-61.669,40.779,2.4216383,5.7343063,-1.4965448
cell105basal.abf,1,Burst,0.03470000000000084,-41.56056,21.512917,-62.013,46.252,2.3745606,5.408169,-1.4505572
cell105basal.abf,1,Burst,0.0359000000000016,-42.249073,20.883406,-62.294,40.529,2.4277513,5.767585,-1.5249319
cell105basal.abf,1,Burst,0.049399999999998556,-43.287018,19.654236,-62.732,46.846,2.7361002,7.776003,-2.1469903
cell105basal.abf,1,Non-burst,1.5934,-68.63496,3.807758,-71.207,46.127,8.553541,156.7533,-109.374146
cell105basal.abf,1,Non-burst,0.8841000000000001,-68.86069,4.536598,-71.489,47.065,8.227583,143.27477,-60.890907
cell105basal.abf,1,Non-burst,1.7414999999999994,-69.763916,3.0921745,-72.208,39.716,10.566858,245.7503,-121.49657
cell105basal.abf,1,Non-burst,1.3072000000000008,-70.140144,3.076797,-72.239,43.469,15.132628,438.84482,-91.69835
cell105basal.abf,1,Non-burst,0.8309999999999995,-70.11232,3.8776782,-72.521,43.375,12.070224,268.31708,-58.274506
cell105basal.abf,1,Non-burst,0.8346999999999998,-70.43307,3.8666565,-73.083,46.002,11.227469,250.99968,-58.801773
cell105basal.abf,1,Non-burst,0.5763999999999996,-70.29889,4.5987473,-73.678,38.934,8.054132,135.51076,-40.52203
cell105basal.abf,1,Non-burst,0.8979999999999997,-70.33825,5.642258,-73.553,44.063,5.5004745,62.049095,-63.17495
cell105basal.abf,1,Non-burst,0.3791999999999991,-69.509346,5.4396086,-73.928,39.122,6.392884,86.09778,-26.36039
cell105basal.abf,1,Non-burst,0.8975000000000009,-72.10687,4.0217876,-74.866,45.876,10.760121,231.17474,-64.72739
cell105basal.abf,1,Non-burst,0.5644999999999989,-70.84959,5.1757407,-74.928,38.778,6.044413,85.08275,-39.996086
cell105basal.abf,1,Non-burst,0.7180999999999997,-71.12191,7.0535984,-75.491,42.874,4.12637,31.568768,-51.08381
cell105basal.abf,1,Non-burst,1.0123000000000015,-72.978325,3.9061885,-75.867,41.53,10.999614,236.69649,-73.88718
cell105basal.abf,1,Non-burst,0.8297000000000008,-72.35033,4.9611382,-75.71,40.779,7.6304674,119.82698,-60.040253
cell105basal.abf,1,Non-burst,1.7266999999999992,-72.5586,3.2277036,-75.21,38.246,9.0768175,177.773,-125.287994
cell105basal.abf,1,Non-burst,1.1588999999999992,-71.88193,4.3207283,-74.647,38.746,7.6380863,123.0421,-83.307785
cell105basal.abf,1,Non-burst,1.9324000000000012,-71.961296,3.1280465,-74.397,46.846,12.015462,306.55356,-139.06949
cell105basal.abf,1,Non-burst,0.5654000000000003,-71.12581,3.9484808,-74.24,38.809,10.288684,215.40921,-40.219913
cell105basal.abf,2,Non-burst,0.2998,-71.819016,3.7221847,-73.865,46.22,14.546972,369.97876,-21.53724
cell105basal.abf,2,Burst,0.036099999999999965,-42.385597,21.120699,-62.388,46.22,2.4516873,5.848853,-1.5339211
cell105basal.abf,2,Burst,0.05269999999999997,-43.258923,19.167627,-62.388,45.783,2.7831178,8.083713,-2.2882586
cell105basal.abf,2,Burst,0.03660000000000041,-42.114025,21.293932,-62.076,45.939,2.4394128,5.7615185,-1.5497938
cell105basal.abf,2,Burst,0.05320000000000036,-43.43422,18.723764,-64.108,42.749,2.8009498,8.387911,-2.3190923
cell105basal.abf,2,Burst,0.048799999999999955,-43.804623,18.321613,-62.607,41.061,2.8782768,8.999564,-2.1414495
cell105basal.abf,2,Burst,0.03399999999999981,-42.05945,21.679298,-62.42,43.969,2.345781,5.212901,-1.4383817
cell105basal.abf,2,Burst,0.036599999999999966,-43.11058,20.56178,-62.263,41.279,2.4954755,6.195876,-1.5803771
cell105basal.abf,2,Burst,0.03700000000000081,-42.43326,21.070957,-62.013,41.53,2.4484603,5.890728,-1.5781738
cell105basal.abf,2,Burst,0.05269999999999975,-44.051544,17.362827,-62.764,40.56,2.9893,9.95892,-2.3236523
cell105basal.abf,2,Burst,0.04300000000000104,-43.134983,19.739752,-62.857,43.281,2.6682322,7.267415,-1.8631988
cell105basal.abf,2,Burst,0.03689999999999927,-42.884533,20.977703,-62.263,45.095,2.4959097,6.2163715,-1.5863951
cell105basal.abf,2,Burst,0.03589999999999982,-42.45221,20.675856,-62.764,40.404,2.4109497,5.713809,-1.5273523
cell105basal.abf,2,Burst,0.0370999999999988,-42.75576,20.656124,-62.294,44.157,2.480636,6.1139975,-1.5893159
cell105basal.abf,2,Burst,0.03730000000000011,-42.67051,21.1272,-62.576,45.157,2.4672205,5.994096,-1.6000408
cell105basal.abf,2,Burst,0.03790000000000049,-43.00206,20.66453,-62.42,42.53,2.5074673,6.284527,-1.6380732
cell105basal.abf,2,Burst,0.03999999999999915,-43.3241,20.722338,-63.139,45.314,2.5934489,6.8484716,-1.7415057
cell105basal.abf,2,Burst,0.03399999999999892,-43.330254,20.835653,-62.857,41.686,2.5444188,6.484498,-1.4815472
cell105basal.abf,2,Burst,0.03669999999999973,-42.354053,21.102076,-62.294,43.813,2.4253156,5.803406,-1.5583355
cell105basal.abf,2,Non-burst,1.4119000000000002,-71.58208,3.7604766,-74.147,45.783,9.118022,175.05307,-101.078125
cell105basal.abf,2,Non-burst,0.9169999999999998,-71.59806,3.5142543,-74.209,37.965,9.794152,203.87184,-65.65644
cell105basal.abf,2,Non-burst,2.0648999999999997,-71.960815,2.9298012,-74.209,42.749,13.354058,357.6678,-148.60313
cell105basal.abf,2,Non-burst,0.5989999999999993,-71.02909,4.530617,-74.053,38.215,9.899132,183.85632,-42.550102
cell105basal.abf,2,Non-burst,1.0283000000000007,-72.431206,3.486685,-74.647,43.969,12.982999,312.95483,-74.492294
cell105basal.abf,2,Non-burst,1.3099999999999996,-71.661224,3.5519342,-74.741,39.122,10.385034,223.7413,-93.8799
cell105basal.abf,2,Non-burst,0.9874999999999998,-71.07348,4.8891053,-74.24,38.997,6.0113173,74.41435,-70.18822
cell105basal.abf,2,Non-burst,0.6062999999999992,-70.36764,5.115316,-73.615,36.464,6.3575525,85.993286,-42.667442
cell105basal.abf,2,Non-burst,0.8582000000000001,-71.93014,3.623501,-74.303,37.464,11.77127,257.76135,-61.732437
cell105basal.abf,2,Non-burst,2.0884,-71.86544,2.7988594,-74.053,45.095,13.862639,396.26794,-150.09512
cell105basal.abf,2,Non-burst,0.9808000000000003,-70.53894,5.14503,-73.771,40.404,6.0212283,75.82738,-69.19548
cell105basal.abf,2,Non-burst,1.057500000000001,-71.345,4.1240807,-73.897,44.157,8.8143835,158.10863,-75.45858
cell105basal.abf,2,Non-burst,0.9065000000000012,-71.0777,4.7202935,-73.959,45.157,7.354127,111.51584,-64.443214
cell105basal.abf,2,Non-burst,1.3869999999999987,-71.14802,3.558138,-73.365,42.53,11.222931,249.74773,-98.693436
cell105basal.abf,2,Non-burst,2.0929,-71.21039,3.077446,-73.771,45.314,11.920089,294.397,-149.04749
cell105basal.abf,2,Non-burst,0.48230000000000217,-69.06656,5.9112244,-72.99,41.686,6.2175336,79.86411,-33.32174
cell105basal.abf,2,Non-burst,0.9885999999999981,-71.371216,5.118633,-74.178,38.027,5.1129465,46.306316,-70.55849
cell105basal.abf,2,Non-burst,0.7065000000000019,-71.511566,4.2202697,-74.459,35.557,6.8613105,102.50559,-50.52815
cell105basal.abf,3,Non-burst,0.0239,-63.990356,10.920577,-71.676,43.218,5.081375,41.022408,-1.5343521
cell105basal.abf,3,Burst,0.024999999999999998,-41.905674,21.766806,-61.638,43.218,2.3112633,5.027425,-1.0558759
cell105basal.abf,3,Burst,0.04270000000000007,-42.206898,19.415495,-62.451,39.653,2.5872555,6.896867,-1.8102047
cell105basal.abf,3,Burst,0.04330000000000034,-43.37625,19.804756,-63.045,45.001,2.6644049,7.3791466,-1.8867024
cell105basal.abf,3,Burst,0.05180000000000007,-44.283634,18.353638,-63.42,45.251,2.9134016,9.312271,-2.2972946
cell105basal.abf,3,Burst,0.3279999999999994,-62.48971,14.074385,-71.895,45.001,3.6079054,19.10974,-20.499191
cell105basal.abf,3,Burst,0.0345999999999993,-43.44422,20.538277,-63.233,45.845,2.5547419,6.723954,-1.5063739
cell105basal.abf,3,Burst,0.053000000000000824,-44.438457,17.362265,-63.358,44.157,3.127915,11.061073,-2.3637724
cell105basal.abf,3,Burst,0.06359999999999921,-45.276657,16.311037,-63.858,42.218,3.2785985,12.661582,-2.881778
cell105basal.abf,3,Burst,0.03619999999999912,-44.255432,19.77466,-63.952,42.218,2.6555157,7.513339,-1.6045641
cell105basal.abf,3,Burst,0.05459999999999887,-45.65187,16.817898,-64.327,41.686,3.2355485,12.211586,-2.4962978
cell105basal.abf,3,Burst,0.03849999999999909,-44.635677,19.388493,-64.609,44.813,2.738187,8.147959,-1.7211177
cell105basal.abf,3,Burst,0.03250000000000064,-44.37944,19.871105,-64.859,43.187,2.6948252,7.782523,-1.4508853
cell105basal.abf,3,Burst,0.07979999999999876,-46.1426,13.712138,-64.39,41.78,3.9744644,19.671011,-3.6844268
cell105basal.abf,3,Burst,0.028600000000000847,-44.869583,18.894123,-64.358,40.623,2.8280358,8.925433,-1.2916224
cell105basal.abf,3,Burst,0.0411999999999999,-44.703777,18.815203,-64.89,43.844,2.8117702,8.853752,-1.8452122
cell105basal.abf,3,Burst,0.035199999999999676,-44.60471,19.33631,-64.358,43.875,2.79614,8.512377,-1.5786679
cell105basal.abf,3,Burst,0.047999999999998266,-44.76845,17.80456,-63.639,43.312,3.0346742,10.4154215,-2.1573591
cell105basal.abf,3,Burst,0.047100000000000364,-44.646317,18.203304,-63.545,41.029,2.99572,9.839253,-2.11129
cell105basal.abf,3,Non-burst,0.8225,-72.83744,6.2382994,-75.804,39.403,5.1934533,47.13696,-59.91265
cell105basal.abf,3,Non-burst,1.2767,-71.97079,2.9566588,-74.866,35.338,11.327653,260.75134,-91.88645
cell105basal.abf,3,Non-burst,0.7129999999999996,-70.21856,4.183076,-72.739,38.465,8.713954,152.85886,-50.067204
cell105basal.abf,3,Non-burst,0.7537000000000003,-70.58419,3.8739727,-72.99,45.001,12.465785,279.39932,-53.210533
cell105basal.abf,3,Non-burst,0.9196000000000009,-70.66133,4.9077773,-73.365,45.845,7.097032,101.59215,-64.991425
cell105basal.abf,3,Non-burst,0.4424999999999999,-69.30162,5.797895,-72.865,39.184,5.2193937,58.658833,-30.667725
cell105basal.abf,3,Non-burst,2.1959,-71.30406,2.3702235,-73.365,42.218,20.136608,741.3056,-156.5877
cell105basal.abf,3,Non-burst,1.7604000000000006,-70.31376,2.571839,-72.552,42.218,21.148735,739.3512,-123.791405
cell105basal.abf,3,Non-burst,0.5621000000000009,-67.23373,6.695051,-71.645,41.686,4.6347437,46.675198,-37.80282
cell105basal.abf,3,Non-burst,3.646600000000001,-70.018776,1.8257005,-72.364,44.813,23.464266,1093.0765,-255.34161
cell105basal.abf,3,Non-burst,0.5518999999999998,-67.41285,5.0810266,-70.519,38.903,6.256717,83.25508,-37.207596
cell105basal.abf,3,Non-burst,0.5638000000000005,-67.82693,5.261721,-70.926,41.78,7.8772335,121.61113,-38.25165
cell105basal.abf,3,Non-burst,0.30100000000000016,-67.440926,5.785207,-71.301,39.184,8.3661995,122.1661,-20.30358
cell105basal.abf,3,Non-burst,3.2499999999999982,-69.45449,2.755579,-71.801,36.87,10.138422,217.07138,-225.72906
cell105basal.abf,3,Non-burst,0.49870000000000303,-67.368774,5.316953,-71.457,43.875,6.816212,99.72852,-33.60768
cell105basal.abf,3,Non-burst,0.6049000000000007,-69.23931,5.2183056,-72.114,43.312,7.116028,103.02777,-41.893875
