File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,9,Burst,Other,0.7126000000000019,22,0.03171904761904762,-45.715317,9.499614,-56.728,37.714,4.8775816,27.718777,-32.58434
cell104basal.abf,9,Non-burst,Non-burst,1.4385000000000001,0,0.0,-61.88759,3.753677,-65.922,35.807,5.7598014,105.21218,-89.034584
cell104basal.abf,9,Non-burst,Non-burst,1.9205,0,0.0,-61.810028,3.2843273,-64.89,34.243,7.4152694,150.59187,-118.71523
cell104basal.abf,9,Non-burst,Non-burst,2.740899999999999,0,0.0,-62.594677,2.7165997,-65.891,24.893,6.6773257,141.30289,-171.56786
cell104basal.abf,9,Non-burst,Non-burst,1.9382000000000001,0,0.0,-60.241596,4.313613,-64.765,34.337,2.7412958,30.43066,-116.769035
cell104basal.abf,9,Non-burst,Non-burst,0.6553000000000004,0,0.0,-60.757713,4.9792223,-65.297,32.867,4.9148083,64.35775,-39.823532
cell104basal.abf,9,Non-burst,Non-burst,7.688499999999998,0,0.0,-62.57606,3.1362197,-65.828,27.895,3.5879133,39.635094,-481.11865
cell104basal.abf,9,Non-burst,Non-burst,1.3902,3,0.028000000000000025,-57.675888,4.493797,-62.294,34.869,8.422034,130.4755,-80.184845
cell104basal.abf,10,Non-burst,Non-burst,8.1454,0,0.0,-63.434124,1.4436307,-66.016,37.026,11.106565,601.8283,-516.70135
cell104basal.abf,10,Burst,Other,1.0197000000000003,27,0.03496153846153846,-46.49265,8.741424,-56.196,37.026,5.5080123,34.85323,-47.416397
cell104basal.abf,10,Non-burst,Non-burst,12.3348,0,0.0,-63.19541,1.7408415,-66.016,26.894,7.2166944,201.51198,-779.50726
cell104basal.abf,11,Non-burst,Non-burst,7.4501,0,0.0,-63.516575,1.2912995,-65.922,38.528,16.760199,1036.9244,-473.21002
cell104basal.abf,11,Burst,Other,1.7001999999999997,38,0.044648648648648655,-47.70239,8.738194,-59.324,38.528,5.0272913,33.519897,-81.111626
cell104basal.abf,11,Burst,Other,1.3129000000000008,32,0.039251612903225805,-46.88443,8.549247,-56.697,38.309,5.599627,36.85321,-61.562523
cell104basal.abf,11,Burst,Other,0.4339000000000013,14,0.028492307692307692,-45.370033,9.69232,-56.29,37.683,4.9834943,28.102068,-19.693758
cell104basal.abf,11,Non-burst,Non-burst,6.458500000000001,0,0.0,-62.296036,2.7089236,-67.204,38.309,4.3672214,99.41303,-402.34842
cell104basal.abf,11,Non-burst,Non-burst,2.446999999999999,0,0.0,-60.825462,3.2748916,-65.453,37.683,5.0234838,108.043976,-148.84921
cell104basal.abf,11,Non-burst,Non-burst,1.6972999999999985,0,0.0,-61.38865,2.8077116,-64.515,25.643,7.286453,157.31169,-104.19919
cell105basal.abf,0,Non-burst,Non-burst,21.4999,0,0.0,-68.11202,0.98505026,-71.176,-64.609,0.010811381,-0.5334661,-1464.4014
cell105basal.abf,1,Non-burst,Non-burst,2.3455,0,0.0,-69.56113,1.5752001,-71.176,44.845,29.600578,1681.656,-163.16136
cell105basal.abf,1,Burst,Other,0.028900000000000148,5,0.004425,-42.887318,21.899767,-63.545,44.845,2.4580722,5.925557,-1.2480087
cell105basal.abf,1,Burst,Other,0.03520000000000012,5,0.005124999999999999,-43.787727,20.246552,-63.17,46.127,2.7355623,7.766383,-1.5499457
cell105basal.abf,1,Burst,Other,0.032399999999999984,5,0.0049499999999999995,-43.03533,21.086845,-62.357,47.065,2.6091528,6.8732862,-1.4029874
cell105basal.abf,1,Burst,Other,0.054400000000000226,6,0.0056,-44.93982,17.367207,-63.326,44.344,3.1577644,11.182798,-2.4466884
cell105basal.abf,1,Burst,Other,0.045099999999999696,6,0.0051400000000000005,-43.549553,19.774048,-62.795,43.469,2.7943306,8.103115,-1.9725974
cell105basal.abf,1,Burst,Other,0.04420000000000002,6,0.005019999999999999,-43.272366,19.453064,-62.388,43.375,2.7398186,7.8918924,-1.9210875
cell105basal.abf,1,Burst,Other,0.04940000000000033,6,0.00522,-43.64168,18.592194,-63.264,46.002,2.918361,9.12868,-2.1645103
cell105basal.abf,1,Burst,Other,0.030300000000000438,5,0.004575000000000001,-42.289448,21.707426,-62.169,45.22,2.402374,5.524724,-1.2898288
cell105basal.abf,1,Burst,Other,0.04470000000000063,6,0.00504,-43.197456,19.523958,-62.764,44.063,2.7499433,7.896557,-1.9394054
cell105basal.abf,1,Burst,Other,0.03810000000000002,5,0.005325,-43.328487,19.243683,-62.232,43.437,2.7117364,7.7391376,-1.6534579
cell105basal.abf,1,Burst,Other,0.03880000000000017,6,0.00468,-42.37482,20.626776,-62.107,45.876,2.5397067,6.4280577,-1.6526132
cell105basal.abf,1,Burst,Other,0.028600000000000847,5,0.0043,-41.221867,22.30053,-61.262,45.845,2.3013673,4.8849254,-1.1872642
cell105basal.abf,1,Burst,Other,0.043699999999999406,6,0.00466,-42.301586,18.97083,-61.7,42.874,2.6632085,7.4222984,-1.8522849
cell105basal.abf,1,Burst,Other,0.03389999999999915,6,0.004240000000000001,-41.099392,21.35335,-61.888,41.53,2.3106203,5.0567408,-1.4013665
cell105basal.abf,1,Burst,Other,0.03569999999999851,6,0.004339999999999999,-41.835102,20.466137,-61.669,40.779,2.4216383,5.7343063,-1.4965448
cell105basal.abf,1,Burst,Other,0.03470000000000084,6,0.00432,-41.56056,21.512917,-62.013,46.252,2.3745606,5.408169,-1.4505572
cell105basal.abf,1,Burst,Other,0.0359000000000016,6,0.0045,-42.249073,20.883406,-62.294,40.529,2.4277513,5.767585,-1.5249319
cell105basal.abf,1,Burst,Other,0.049399999999998556,7,0.005016666666666667,-43.287018,19.654236,-62.732,46.846,2.7361002,7.776003,-2.1469903
cell105basal.abf,1,Non-burst,Non-burst,1.5934,0,0.0,-68.63496,3.8077583,-71.207,46.127,8.55354,156.75325,-109.374146
cell105basal.abf,1,Non-burst,Non-burst,0.8841000000000001,0,0.0,-68.86069,4.536598,-71.489,47.065,8.227584,143.27477,-60.89091
cell105basal.abf,1,Non-burst,Non-burst,1.7414999999999994,0,0.0,-69.763916,3.0921748,-72.208,39.716,10.566856,245.75023,-121.49657
cell105basal.abf,1,Non-burst,Non-burst,1.3072000000000008,0,0.0,-70.140144,3.0767968,-72.239,43.469,15.132628,438.84494,-91.69835
cell105basal.abf,1,Non-burst,Non-burst,0.8309999999999995,0,0.0,-70.11233,3.8776784,-72.521,43.375,12.070228,268.3171,-58.274506
cell105basal.abf,1,Non-burst,Non-burst,0.8346999999999998,0,0.0,-70.43306,3.8666565,-73.083,46.002,11.227463,250.99962,-58.80177
cell105basal.abf,1,Non-burst,Non-burst,0.5763999999999996,0,0.0,-70.29889,4.5987473,-73.678,38.934,8.054132,135.51076,-40.52203
cell105basal.abf,1,Non-burst,Non-burst,0.8979999999999997,0,0.0,-70.33825,5.6422577,-73.553,44.063,5.5004745,62.04911,-63.174946
cell105basal.abf,1,Non-burst,Non-burst,0.3791999999999991,0,0.0,-69.509346,5.4396086,-73.928,39.122,6.392884,86.09778,-26.36039
cell105basal.abf,1,Non-burst,Non-burst,0.8975000000000009,0,0.0,-72.10688,4.021788,-74.866,45.876,10.760125,231.17473,-64.727394
cell105basal.abf,1,Non-burst,Non-burst,0.5644999999999989,0,0.0,-70.84959,5.1757407,-74.928,38.778,6.044413,85.08275,-39.996086
cell105basal.abf,1,Non-burst,Non-burst,0.7180999999999997,0,0.0,-71.12191,7.0535984,-75.491,42.874,4.12637,31.568768,-51.08381
cell105basal.abf,1,Non-burst,Non-burst,1.0123000000000015,0,0.0,-72.97832,3.9061885,-75.867,41.53,10.99961,236.69644,-73.88718
cell105basal.abf,1,Non-burst,Non-burst,0.8297000000000008,0,0.0,-72.35033,4.9611387,-75.71,40.779,7.6304674,119.82694,-60.040253
cell105basal.abf,1,Non-burst,Non-burst,1.7266999999999992,0,0.0,-72.5586,3.2277033,-75.21,38.246,9.076819,177.77306,-125.287994
cell105basal.abf,1,Non-burst,Non-burst,1.1588999999999992,0,0.0,-71.88193,4.3207283,-74.647,38.746,7.6380863,123.04209,-83.30779
cell105basal.abf,1,Non-burst,Non-burst,1.9324000000000012,0,0.0,-71.9613,3.1280465,-74.397,46.846,12.01547,306.55368,-139.06947
cell105basal.abf,1,Non-burst,Non-burst,0.5654000000000003,0,0.0,-71.12581,3.9484808,-74.24,38.809,10.288684,215.40921,-40.219913
cell105basal.abf,2,Non-burst,Non-burst,0.2998,0,0.0,-71.819016,3.7221847,-73.865,46.22,14.546972,369.97876,-21.53724
cell105basal.abf,2,Burst,Other,0.036099999999999965,6,0.00444,-42.385597,21.120699,-62.388,46.22,2.4516873,5.848853,-1.5339211
cell105basal.abf,2,Burst,Other,0.05269999999999997,7,0.0049833333333333335,-43.258923,19.167627,-62.388,45.783,2.7831178,8.083713,-2.2882586
cell105basal.abf,2,Burst,Other,0.03660000000000041,6,0.00444,-42.114025,21.293932,-62.076,45.939,2.4394128,5.7615185,-1.5497938
cell105basal.abf,2,Burst,Other,0.05320000000000036,7,0.005,-43.43422,18.723764,-64.108,42.749,2.8009498,8.387911,-2.3190923
cell105basal.abf,2,Burst,Other,0.048799999999999955,6,0.00494,-43.804623,18.321613,-62.607,41.061,2.8782768,8.999564,-2.1414495
cell105basal.abf,2,Burst,Other,0.03399999999999981,6,0.00446,-42.05945,21.679298,-62.42,43.969,2.345781,5.212901,-1.4383817
cell105basal.abf,2,Burst,Other,0.036599999999999966,6,0.004620000000000001,-43.11058,20.56178,-62.263,41.279,2.4954755,6.195876,-1.5803771
cell105basal.abf,2,Burst,Other,0.03700000000000081,6,0.0047,-42.43326,21.070957,-62.013,41.53,2.4484603,5.890728,-1.5781738
cell105basal.abf,2,Burst,Other,0.05269999999999975,6,0.0051199999999999996,-44.051544,17.362827,-62.764,40.56,2.9893,9.95892,-2.3236523
cell105basal.abf,2,Burst,Other,0.04300000000000104,6,0.005,-43.134983,19.739752,-62.857,43.281,2.6682322,7.267415,-1.8631988
cell105basal.abf,2,Burst,Other,0.03689999999999927,6,0.004739999999999999,-42.884533,20.977703,-62.263,45.095,2.4959097,6.2163715,-1.5863951
cell105basal.abf,2,Burst,Other,0.03589999999999982,6,0.004540000000000001,-42.45221,20.675856,-62.764,40.404,2.4109497,5.713809,-1.5273523
