Burst_Number,Type,Node1_ID,Node2_ID
1,Parabolic,53,54
1,Parabolic,54,55
1,Parabolic,54,56
1,Parabolic,54,57
1,Parabolic,54,58
1,Parabolic,54,59
1,Parabolic,54,62
1,Parabolic,54,84
1,Parabolic,54,89
1,Parabolic,54,99
1,Parabolic,54,100
1,Parabolic,54,107
1,Parabolic,54,109
1,Parabolic,54,114
1,Parabolic,54,116
1,Parabolic,54,118
1,Parabolic,55,56
1,Parabolic,56,57
1,Parabolic,56,58
1,Parabolic,56,62
1,Parabolic,56,114
1,Parabolic,56,116
1,Parabolic,56,118
1,Parabolic,57,58
1,Parabolic,57,118
1,Parabolic,58,59
1,Parabolic,58,62
1,Parabolic,58,114
1,Parabolic,58,116
1,Parabolic,58,118
1,Parabolic,59,60
1,Parabolic,59,61
1,Parabolic,59,62
1,Parabolic,59,118
1,Parabolic,60,61
1,Parabolic,60,62
1,Parabolic,61,62
1,Parabolic,62,63
1,Parabolic,62,64
1,Parabolic,62,65
1,Parabolic,62,68
1,Parabolic,62,69
1,Parabolic,62,70
1,Parabolic,62,72
1,Parabolic,62,75
1,Parabolic,62,83
1,Parabolic,62,84
1,Parabolic,62,89
1,Parabolic,62,99
1,Parabolic,62,100
1,Parabolic,62,107
1,Parabolic,62,109
1,Parabolic,62,114
1,Parabolic,62,116
1,Parabolic,62,118
1,Parabolic,63,64
1,Parabolic,63,100
1,Parabolic,63,109
1,Parabolic,63,114
1,Parabolic,63,116
1,Parabolic,63,118
1,Parabolic,64,65
1,Parabolic,64,75
1,Parabolic,64,84
1,Parabolic,64,99
1,Parabolic,64,100
1,Parabolic,64,109
1,Parabolic,64,114
1,Parabolic,64,116
1,Parabolic,64,118
1,Parabolic,65,66
1,Parabolic,65,67
1,Parabolic,65,68
1,Parabolic,65,70
1,Parabolic,65,72
1,Parabolic,65,75
1,Parabolic,65,84
1,Parabolic,65,99
1,Parabolic,65,100
1,Parabolic,65,109
1,Parabolic,65,114
1,Parabolic,65,116
1,Parabolic,65,118
1,Parabolic,66,67
1,Parabolic,67,68
1,Parabolic,67,118
1,Parabolic,68,69
1,Parabolic,68,70
1,Parabolic,68,72
1,Parabolic,68,75
1,Parabolic,68,100
1,Parabolic,68,109
1,Parabolic,68,114
1,Parabolic,68,116
1,Parabolic,68,118
1,Parabolic,69,70
1,Parabolic,69,118
1,Parabolic,70,71
1,Parabolic,70,72
1,Parabolic,70,75
1,Parabolic,70,100
1,Parabolic,70,109
1,Parabolic,70,114
1,Parabolic,70,116
1,Parabolic,70,118
1,Parabolic,71,72
1,Parabolic,71,118
1,Parabolic,72,73
1,Parabolic,72,74
1,Parabolic,72,75
1,Parabolic,72,100
1,Parabolic,72,109
1,Parabolic,72,114
1,Parabolic,72,116
1,Parabolic,72,118
1,Parabolic,73,74
1,Parabolic,73,75
1,Parabolic,74,75
1,Parabolic,75,76
1,Parabolic,75,78
1,Parabolic,75,82
1,Parabolic,75,83
1,Parabolic,75,84
1,Parabolic,75,99
1,Parabolic,75,100
1,Parabolic,75,109
1,Parabolic,75,114
1,Parabolic,75,116
1,Parabolic,75,118
1,Parabolic,76,77
1,Parabolic,76,78
1,Parabolic,76,82
1,Parabolic,76,83
1,Parabolic,76,84
1,Parabolic,76,100
1,Parabolic,76,109
1,Parabolic,76,114
1,Parabolic,76,116
1,Parabolic,76,118
1,Parabolic,77,78
1,Parabolic,78,79
1,Parabolic,78,80
1,Parabolic,78,81
1,Parabolic,78,82
1,Parabolic,78,83
1,Parabolic,78,84
1,Parabolic,78,109
1,Parabolic,78,114
1,Parabolic,78,116
1,Parabolic,78,118
1,Parabolic,79,80
1,Parabolic,79,82
1,Parabolic,79,83
1,Parabolic,79,84
1,Parabolic,79,118
1,Parabolic,80,81
1,Parabolic,80,82
1,Parabolic,80,83
1,Parabolic,80,84
1,Parabolic,80,118
1,Parabolic,81,82
1,Parabolic,82,83
1,Parabolic,82,84
1,Parabolic,83,84
1,Parabolic,84,85
1,Parabolic,84,88
1,Parabolic,84,89
1,Parabolic,84,99
1,Parabolic,84,100
1,Parabolic,84,109
1,Parabolic,84,114
1,Parabolic,84,116
1,Parabolic,84,118
1,Parabolic,85,86
1,Parabolic,85,87
1,Parabolic,85,88
1,Parabolic,85,89
1,Parabolic,85,114
1,Parabolic,85,116
1,Parabolic,85,118
1,Parabolic,86,87
1,Parabolic,86,89
1,Parabolic,87,88
1,Parabolic,87,89
1,Parabolic,88,89
1,Parabolic,89,90
1,Parabolic,89,91
1,Parabolic,89,92
1,Parabolic,89,99
1,Parabolic,89,100
1,Parabolic,89,109
1,Parabolic,89,114
1,Parabolic,89,116
1,Parabolic,89,118
1,Parabolic,90,91
1,Parabolic,90,92
1,Parabolic,91,92
1,Parabolic,92,93
1,Parabolic,92,94
1,Parabolic,92,96
1,Parabolic,92,97
1,Parabolic,92,99
1,Parabolic,92,100
1,Parabolic,92,114
1,Parabolic,92,116
1,Parabolic,92,118
1,Parabolic,93,94
1,Parabolic,93,97
1,Parabolic,93,99
1,Parabolic,93,100
1,Parabolic,93,114
1,Parabolic,93,116
1,Parabolic,93,118
1,Parabolic,94,95
1,Parabolic,94,96
1,Parabolic,94,97
1,Parabolic,94,99
1,Parabolic,94,100
1,Parabolic,94,114
1,Parabolic,94,116
1,Parabolic,94,118
1,Parabolic,95,96
1,Parabolic,96,97
1,Parabolic,97,98
1,Parabolic,97,99
1,Parabolic,97,100
1,Parabolic,98,99
1,Parabolic,99,100
1,Parabolic,100,101
1,Parabolic,100,103
1,Parabolic,100,107
1,Parabolic,100,109
1,Parabolic,100,114
1,Parabolic,100,116
1,Parabolic,100,118
1,Parabolic,101,102
1,Parabolic,101,103
1,Parabolic,101,107
1,Parabolic,101,109
1,Parabolic,101,114
1,Parabolic,101,116
1,Parabolic,101,118
1,Parabolic,102,103
1,Parabolic,103,104
1,Parabolic,103,105
1,Parabolic,103,106
1,Parabolic,103,107
1,Parabolic,103,109
1,Parabolic,103,114
1,Parabolic,103,118
1,Parabolic,104,105
1,Parabolic,104,106
1,Parabolic,104,107
1,Parabolic,105,106
1,Parabolic,105,107
1,Parabolic,106,107
1,Parabolic,107,108
1,Parabolic,107,109
1,Parabolic,107,114
1,Parabolic,107,118
1,Parabolic,108,109
1,Parabolic,109,110
1,Parabolic,109,111
1,Parabolic,109,112
1,Parabolic,109,114
1,Parabolic,109,118
1,Parabolic,110,111
1,Parabolic,110,112
1,Parabolic,110,114
1,Parabolic,111,112
1,Parabolic,111,114
1,Parabolic,112,113
1,Parabolic,112,114
1,Parabolic,113,114
1,Parabolic,114,115
1,Parabolic,114,116
1,Parabolic,114,118
1,Parabolic,115,116
1,Parabolic,116,117
1,Parabolic,116,118
1,Parabolic,117,118
1,Parabolic,118,119
1,Parabolic,118,120
1,Parabolic,119,120
2,Parabolic,0,1
2,Parabolic,1,2
2,Parabolic,1,3
2,Parabolic,1,4
2,Parabolic,1,5
2,Parabolic,1,6
2,Parabolic,1,7
2,Parabolic,2,3
2,Parabolic,2,4
2,Parabolic,2,5
2,Parabolic,2,6
2,Parabolic,2,7
2,Parabolic,3,4
2,Parabolic,3,6
2,Parabolic,3,7
2,Parabolic,4,5
2,Parabolic,4,6
2,Parabolic,4,7
2,Parabolic,5,6
2,Parabolic,5,7
2,Parabolic,6,7
2,Parabolic,7,8
2,Parabolic,7,9
2,Parabolic,7,77
2,Parabolic,8,9
2,Parabolic,9,10
2,Parabolic,9,11
2,Parabolic,9,12
2,Parabolic,9,13
2,Parabolic,9,16
2,Parabolic,9,17
2,Parabolic,9,18
2,Parabolic,9,19
2,Parabolic,9,32
2,Parabolic,9,40
2,Parabolic,9,48
2,Parabolic,9,51
2,Parabolic,9,53
2,Parabolic,9,55
2,Parabolic,9,58
2,Parabolic,9,64
2,Parabolic,9,70
2,Parabolic,9,71
2,Parabolic,9,73
2,Parabolic,9,77
2,Parabolic,10,11
2,Parabolic,10,12
2,Parabolic,10,73
2,Parabolic,10,77
2,Parabolic,11,12
2,Parabolic,12,13
2,Parabolic,12,18
2,Parabolic,12,19
2,Parabolic,12,64
2,Parabolic,12,70
