Sweep,Segment_Type,Start,End,Mean_ISI,Median_ISI,Std_ISI,Kurtosis,Skewness,CMA_Threshold,CMA_Valley_Index,CMA_Peak_Index
5,Burst,15.5733,17.933,0.05020638297872341,0.04660000000000153,0.02956640851454679,23.06982429646569,4.301565958484288,0.042,68.0,14.0
5,Burst,19.7321,21.3571,0.08552631578947369,0.06620000000000203,0.05567743417130743,-1.223749580617515,0.29677130668856216,0.0,50.0,0.0
5,Non-burst,11.457,12.4948,0.5188999999999995,0.5188999999999995,0.13870000000000093,-2.0,0.0,0.0,90.0,0.0
5,Non-burst,12.7184,13.0194,0.3009999999999984,0.3009999999999984,0.0,,,0.0,0.0,0.0
5,Non-burst,13.422,14.9771,1.5550999999999995,1.5550999999999995,0.0,,,0.0,0.0,0.0
5,Non-burst,15.2256,15.5733,0.3476999999999997,0.3476999999999997,0.0,,,0.0,0.0,0.0
5,Non-burst,17.933,19.7321,1.7990999999999993,1.7990999999999993,0.0,,,0.0,0.0,0.0
5,Non-burst,21.3571,21.4999,,,,,,,,
6,Non-burst,0.0,8.6768,,,,,,,,
6,Burst,8.6768,13.0592,0.05280000000000001,0.04300000000000104,0.03816006238786546,13.051470569820133,2.9894131639267325,0.0,87.0,0.0
6,Burst,16.0028,17.1111,0.07388666666666666,0.05369999999999919,0.054444979770610885,-0.28552693680815855,0.9516157661616558,0.0,59.0,0.0
6,Non-burst,13.0592,16.0028,1.4718,1.4718,0.5043000000000006,-2.0,0.0,0.0,334.0,0.0
6,Non-burst,17.1111,21.4999,0.3349000000000011,0.3349000000000011,0.0,,,0.0,0.0,0.0
7,Non-burst,0.0,9.7351,,,,,,,,
7,Burst,9.7351,14.8888,0.04861981132075472,0.039049999999999585,0.03719341699668007,7.220290273708219,2.395128678102467,0.003,70.0,1.0
7,Burst,17.4316,20.9581,0.059771186440678005,0.04499999999999815,0.05369614148574156,8.972701787217547,2.8814307810657374,0.0,94.0,0.0
7,Non-burst,14.8888,17.4316,2.5427999999999997,2.5427999999999997,0.0,,,0.0,0.0,0.0
7,Non-burst,20.9581,21.4999,,,,,,,,
8,Non-burst,0.0,0.3262,,,,,,,,
8,Burst,0.3262,1.2571,0.04654500000000001,0.045050000000000034,0.02781194842149682,-0.9890148767728753,0.5429045962675092,0.0,29.0,0.0
8,Burst,1.6052,1.7153,0.11010000000000009,0.11010000000000009,0.0,,,0.0,0.0,0.0
8,Burst,3.412,3.504,0.04600000000000004,0.04600000000000004,0.015399999999999858,-2.0,0.0,0.0,8.0,0.0
8,Burst,10.2433,13.9028,0.05082638888888888,0.040449999999999875,0.03926723256898225,14.188036362059776,3.170587473467612,0.036,89.0,12.0
8,Burst,19.0791,21.4927,0.04309999999999998,0.0442499999999999,0.01746845115384553,0.12616380114904002,0.004976262748908464,0.0,8.0,0.0
8,Non-burst,1.2571,1.6052,0.34809999999999985,0.34809999999999985,0.0,,,0.0,0.0,0.0
8,Non-burst,1.7153,3.412,1.6966999999999999,1.6966999999999999,0.0,,,0.0,0.0,0.0
8,Non-burst,3.504,10.2433,6.7393,6.7393,0.0,,,0.0,0.0,0.0
8,Non-burst,13.9028,19.0791,2.5881500000000006,2.5881500000000006,2.2155500000000004,-2.0,0.0,0.0,1475.0,0.0
8,Non-burst,21.4927,21.4999,,,,,,,,
9,Non-burst,0.0,6.6333,,,,,,,,
9,Burst,6.6333,11.2615,0.04976559139784946,0.04010000000000069,0.034112938593574095,6.648934011475131,2.2463647271858598,0.0,69.0,0.0
9,Burst,12.1194,12.1737,0.05429999999999957,0.05429999999999957,0.0,,,0.0,0.0,0.0
9,Burst,14.1007,18.5541,0.05637215189873416,0.05030000000000001,0.045517969568041695,12.701670205172949,3.130894075966612,0.0,95.0,0.0
9,Non-burst,11.2615,12.1194,0.8579000000000008,0.8579000000000008,0.0,,,0.0,0.0,0.0
9,Non-burst,12.1737,14.1007,1.9269999999999996,1.9269999999999996,0.0,,,0.0,0.0,0.0
9,Non-burst,18.5541,21.4999,0.8436000000000021,0.8436000000000021,0.0,,,0.0,0.0,0.0
10,Non-burst,0.0,0.9629,,,,,,,,
10,Burst,0.9629,6.0871,0.06654805194805197,0.0484,0.05439952637873852,3.3418882522658713,1.9151099139490548,0.0,80.0,0.0
10,Burst,7.3669,7.4598,0.0929000000000002,0.0929000000000002,0.0,,,0.0,0.0,0.0
10,Burst,10.2651,11.0996,0.08345000000000002,0.0788000000000002,0.051699250478126096,-1.0136030169791905,0.4526731941176561,0.0,51.0,0.0
10,Burst,15.6907,18.3177,0.06735897435897432,0.06579999999999941,0.03710854983346736,0.011216139692208138,0.6130441239610956,0.0,7.0,0.0
10,Non-burst,6.0871,7.3669,0.6398999999999999,0.6398999999999999,0.15410000000000057,-2.0,0.0,0.0,101.0,0.0
10,Non-burst,7.4598,10.2651,2.8053,2.8053,0.0,,,0.0,0.0,0.0
10,Non-burst,11.0996,15.6907,0.6558714285714284,0.4720999999999993,0.40393141466727006,1.561660153276251,1.7721959857151033,0.0,414.0,0.0
10,Non-burst,18.3177,21.4999,1.3241000000000014,1.3241000000000014,0.0,,,0.0,0.0,0.0
11,Non-burst,0.0,6.1444,,,,,,,,
11,Burst,6.1444,10.0838,0.05471388888888889,0.04489999999999972,0.0395011086537649,8.233758316518168,2.4854565017060697,0.0,78.0,0.0
11,Burst,16.7343,19.7562,0.061671428571428544,0.056400000000000006,0.037662041736410155,2.2976749283333753,1.275835966177461,0.0,56.0,0.0
11,Non-burst,10.0838,16.7343,3.3252500000000005,3.3252500000000005,2.5431500000000007,-2.0,0.0,0.0,1693.0,0.0
11,Non-burst,19.7562,21.4999,0.3214000000000006,0.3214000000000006,0.0,,,0.0,0.0,0.0
12,Non-burst,0.0,2.125,0.6285333333333333,0.42350000000000004,0.3644724071250876,-1.5,0.665798083638128,0.0,271.0,0.0
12,Burst,2.125,2.4129,0.28790000000000004,0.28790000000000004,0.0,,,0.0,0.0,0.0
12,Burst,4.4124,4.7025,0.2900999999999998,0.2900999999999998,0.0,,,0.0,0.0,0.0
12,Burst,8.6346,8.8954,0.2607999999999997,0.2607999999999997,0.0,,,0.0,0.0,0.0
12,Burst,10.1544,10.6866,0.2660999999999998,0.2660999999999998,0.003400000000000958,-2.0,0.0,0.0,0.0,0.0
12,Burst,14.4426,14.8708,0.2140999999999993,0.2140999999999993,0.020299999999999763,-2.0,0.0,0.0,12.0,0.0
