File_Name,Sweep,Segment_Type,Burst_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell107basal.abf,8,Burst,Parabolic,0.2683000000000004,-52.67525,5.6101203,-63.639,28.364,5.60267,70.85781,-14.140864,0.70070815,9020.027,-86001.0,318350.03,17.343412,626.7083
cell107basal.abf,8,Burst,Parabolic,0.21530000000000005,-52.720776,6.6547256,-65.891,27.926,3.8728423,41.160213,-11.353109,-43.303932,9434.631,-89439.99,314910.03,17.476076,617.5874
cell107basal.abf,8,Burst,Parabolic,0.1913999999999998,-52.082676,6.3631964,-63.67,30.459,4.2988057,48.019547,-9.970637,-107.89078,9417.22,-85062.01,295215.0,15.060927,528.119
cell107basal.abf,8,Burst,Parabolic,0.27590000000000003,-51.97792,5.7970147,-64.233,28.739,4.8619595,61.986267,-14.348713,-4.758993,8905.862,-92250.01,327730.03,18.447165,703.44135
cell107basal.abf,8,Burst,Parabolic,0.49130000000000074,-52.74598,6.317733,-65.359,29.083,4.3345623,48.133026,-25.922138,-5.7928076,9089.789,-90369.99,267689.0,14.6628275,446.12408
cell107basal.abf,8,Burst,Parabolic,0.28719999999999857,-52.70615,5.6720705,-64.734,28.239,4.3437796,54.982876,-15.138859,-81.47614,7463.638,-82246.0,276762.03,16.145727,692.4981
cell107basal.abf,8,Burst,Parabolic,0.2477999999999998,-50.562965,6.538707,-64.515,25.487,3.1519473,35.346107,-12.537085,1.8926554,8984.013,-83497.0,281448.0,15.533331,491.4297
cell107basal.abf,8,Burst,Parabolic,0.2886999999999986,-53.27877,5.3370585,-66.078,29.302,4.7317224,66.21629,-15.383463,-72.59977,7901.3237,-91002.7,300217.03,17.42596,759.336
cell107basal.abf,8,Burst,Parabolic,0.2626999999999988,-51.800983,6.0049295,-65.922,28.645,3.7058167,46.567997,-13.610861,-9.28789,9081.858,-86624.01,267689.0,14.570101,450.8837
cell107basal.abf,8,Burst,Parabolic,0.5428999999999995,-52.181515,6.6559324,-66.297,28.645,4.166357,44.681664,-28.33733,-3.6286724,10438.9,-84748.0,311470.03,13.72117,389.29236
cell107basal.abf,8,Burst,Parabolic,0.2179000000000002,-52.153774,6.509546,-65.046,28.301,4.543548,50.90435,-11.372308,4.157871,9871.129,-94130.0,308340.0,15.086964,485.28238
cell107basal.abf,8,Burst,Parabolic,0.2835000000000001,-52.42398,5.28668,-63.108,27.957,6.422392,84.011185,-14.870138,6.836001,8601.485,-74741.0,317410.0,18.777958,696.77856
cell107basal.abf,8,Non-burst,Non-burst,1.9239000000000002,-52.004723,4.3900204,-65.234,30.803,5.3292747,92.42804,-100.05977,1.6908363,7144.243,-95379.99,349940.0,21.23069,955.1578
cell107basal.abf,8,Non-burst,Non-burst,0.9325000000000001,-52.3939,4.497198,-65.453,28.458,5.2322326,89.56885,-48.85975,-4.9646144,7126.92,-91313.0,334610.0,21.944984,1015.48004
cell107basal.abf,8,Non-burst,Non-burst,0.9529999999999994,-52.90191,4.4484496,-66.36,28.364,4.91723,79.23885,-50.41697,-29.01117,6483.5405,-90370.0,265818.0,15.8376255,710.3256
cell107basal.abf,8,Non-burst,Non-burst,0.5686,-51.130077,4.1181045,-65.328,26.05,4.6687393,92.42548,-29.075157,0.27616534,6661.1147,-92571.0,304281.0,21.488823,991.046
cell107basal.abf,8,Non-burst,Non-burst,1.8336000000000006,-52.406006,4.6558847,-67.798,29.709,5.2301035,85.11765,-96.0997,0.6309923,7304.7095,-93196.0,344620.0,20.770927,938.3569
cell107basal.abf,8,Non-burst,Non-burst,0.3292999999999999,-51.99579,5.216248,-64.89,29.083,6.171997,87.50806,-17.130236,5.0319047,8327.069,-81930.01,292706.0,16.759817,600.4148
cell107basal.abf,8,Non-burst,Non-burst,2.0946,-52.113792,4.3009343,-66.673,28.739,4.944667,91.32287,-109.16548,0.9557971,6888.4937,-94444.0,347750.03,20.929142,976.5115
cell107basal.abf,8,Non-burst,Non-burst,3.5420000000000016,-52.18323,4.33195,-65.516,29.49,5.4310994,94.17457,-184.84079,-0.35319382,6874.58,-93193.0,307721.0,19.754667,858.2987
cell107basal.abf,8,Non-burst,Non-burst,1.431799999999999,-52.931114,3.7326992,-65.359,29.302,6.924497,132.19873,-75.7948,2.6644783,6109.561,-92253.0,359629.97,24.476475,1348.7268
