File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv,UMAP1,UMAP2
cell89basal.abf,5,Burst,Parabolic,2.3597,48,0.047293617021276595,-47.849606,9.650859,-61.356,44.188,5.2719607,39.349102,-112.91968,-1.9879513,24957.473,-171994.0,436253.03,5.6962967,110.887634,7.2444353,-4.358076
cell89basal.abf,5,Burst,Parabolic,1.625,18,0.08534117647058823,-50.378265,7.5820293,-62.263,45.126,7.170111,72.399864,-81.8689,-3.3675764,20455.701,-186379.98,450950.03,8.136033,205.74155,7.2444663,-2.5408084
cell89basal.abf,6,Burst,Parabolic,4.3824000000000005,82,0.05062345679012346,-48.417458,9.218653,-61.7,46.846,5.8294997,46.33625,-212.194,-0.92755824,25023.928,-206083.0,455954.0,6.1623826,122.06095,7.4624643,-5.77009
cell89basal.abf,6,Burst,Parabolic,1.1082999999999998,14,0.0713846153846154,-49.274563,7.9334397,-61.481,47.503,6.9284596,66.54133,-54.620464,-3.7246063,22126.744,-182000.02,466899.0,7.7247047,186.56142,7.186554,-2.3961232
cell89basal.abf,7,Burst,Parabolic,3.526500000000002,58,0.05657719298245614,-48.671085,8.633945,-60.7,45.345,6.0948753,50.57115,-171.64774,-1.3656511,22638.635,-170439.98,470330.03,6.4006104,134.52336,7.3614974,-4.567046
cell89basal.abf,8,Burst,Parabolic,0.9309000000000001,19,0.04843888888888889,-47.399536,9.455535,-60.356,43.469,5.585704,41.500595,-44.13305,-5.7782454,25458.781,-160740.02,409050.0,5.516306,102.42463,6.9276357,-2.2640414
cell89basal.abf,8,Burst,Parabolic,3.6594999999999995,72,0.04753802816901408,-48.12174,9.033225,-61.169,43.343,5.6723723,43.60058,-176.10464,-6.469102,23891.014,-181380.02,402790.0,5.735525,111.68371,7.4494243,-5.7361913
cell89basal.abf,8,Burst,Parabolic,2.413599999999999,55,0.04289444444444445,-47.073357,9.48613,-60.043,40.404,5.495288,39.68002,-113.619545,-6.1806507,25947.309,-173560.98,459700.03,5.332305,95.910904,7.3054914,-4.4673967
cell89basal.abf,9,Burst,Parabolic,4.6282,94,0.0473989247311828,-47.959106,9.082437,-60.168,42.812,5.718391,43.406174,-221.97324,-0.6892393,23892.066,-176060.02,409980.03,5.737812,109.28513,7.479606,-5.8121305
cell89basal.abf,9,Burst,Parabolic,4.4533999999999985,81,0.05238,-48.313183,8.780107,-59.511,41.967,5.742392,45.057262,-215.16116,-4.283562,22048.135,-171689.98,422810.03,5.9184337,119.21068,7.4741583,-5.7807913
cell89basal.abf,10,Burst,Parabolic,5.1242,76,0.06489066666666667,-48.857,8.088721,-60.262,37.402,6.150635,52.25276,-250.36165,-7.3182155e-06,20172.227,-158865.02,410600.0,6.483535,142.91017,7.4469347,-5.736141
