UMAP1,UMAP2,Burst_Type
6.0574965,13.676773,Parabolic
6.674933,8.1552305,Parabolic
6.3974752,13.218942,Parabolic
5.4530525,13.343188,Square Wave
5.606568,7.869192,Non-burst
10.545374,4.49927,Non-burst
10.293892,3.6822433,Non-burst
7.489423,5.775681,Non-burst
7.655791,7.6638637,Non-burst
6.2560334,13.565629,Parabolic
5.863921,13.462152,Parabolic
5.900297,9.334563,Parabolic
5.258558,8.19147,Parabolic
9.600874,5.0595365,Non-burst
6.420985,8.199376,Non-burst
11.34246,4.7706485,Non-burst
7.6965137,4.3392873,Non-burst
7.6253095,7.6389,Non-burst
6.1930676,13.415484,Parabolic
5.552903,13.383108,Parabolic
5.843729,13.143104,Square Wave
6.033601,13.305496,Parabolic
4.787921,12.8548,Parabolic
9.913443,4.82368,Non-burst
11.354986,4.798341,Non-burst
10.8568535,3.556789,Non-burst
9.595438,5.09833,Non-burst
7.5600867,6.0162425,Non-burst
7.641921,7.658711,Non-burst
5.4561663,13.346338,Parabolic
5.4730473,13.37907,Parabolic
5.4898443,13.347043,Parabolic
5.5475345,13.361209,Parabolic
6.3734694,13.142658,Parabolic
5.3451643,13.306428,Parabolic
4.9424276,12.364022,Parabolic
5.900506,13.335188,Square Wave
6.2109623,8.554466,Non-burst
11.4844885,4.6024356,Non-burst
6.1956205,9.385222,Non-burst
10.628968,4.411834,Non-burst
7.1193733,7.348151,Non-burst
6.6358156,8.108284,Non-burst
10.748395,3.7403324,Non-burst
7.508536,5.702658,Non-burst
10.090729,3.4794786,Non-burst
6.0122094,13.621391,Parabolic
4.356093,8.726656,Parabolic
5.4927115,13.321963,Parabolic
6.6343274,13.211831,Parabolic
6.5966783,9.321202,Non-burst
7.4558496,6.754602,Non-burst
10.650904,4.341054,Non-burst
7.4484034,5.5928335,Non-burst
9.620589,1.8157561,Non-burst
5.9840302,13.647832,Parabolic
6.2418294,13.261255,Parabolic
9.871114,4.793493,Non-burst
7.7711854,4.553941,Non-burst
9.696055,1.8823822,Non-burst
5.950817,13.644588,Parabolic
6.2216783,13.603689,Parabolic
10.571185,4.4887924,Non-burst
7.5690026,5.431812,Non-burst
8.935249,0.40217146,Non-burst
5.720504,13.333365,Parabolic
5.999184,13.493321,Parabolic
5.539353,13.338954,Parabolic
10.1109295,3.705613,Non-burst
10.188717,3.6709168,Non-burst
7.5192795,5.874275,Non-burst
9.621408,1.7491242,Non-burst
5.948932,13.485935,Parabolic
6.001152,13.416926,Parabolic
9.971933,4.7724023,Non-burst
7.8111877,4.5757794,Non-burst
8.989016,0.57165146,Non-burst
6.2266746,13.4670925,Parabolic
5.08197,9.706358,Parabolic
6.0680265,13.282167,Parabolic
9.601455,5.117412,Non-burst
7.480109,12.814292,Non-burst
7.5796075,5.35524,Non-burst
9.59451,1.7808553,Non-burst
5.957791,13.477045,Parabolic
5.9321938,13.335884,Parabolic
9.590394,5.0954795,Non-burst
7.753989,5.282235,Non-burst
8.002337,13.19803,Non-burst
7.8849435,13.349524,Non-burst
9.469896,5.2215376,Non-burst
3.8024108,8.913679,Parabolic
7.174126,13.491626,Parabolic
4.1330705,8.99307,Parabolic
9.384844,5.3195214,Non-burst
9.589616,5.1911626,Non-burst
6.2724915,8.241211,Non-burst
8.867283,0.32726216,Non-burst
2.065082,9.020771,Square Wave
2.9229918,9.196234,Square Wave
0.51893604,7.625346,Square Wave
1.9121183,8.947339,Square Wave
0.2171066,7.603031,Square Wave
0.9303861,7.9465575,Square Wave
1.2990242,8.4243145,Square Wave
0.12955561,7.635288,Square Wave
2.08251,8.958039,Square Wave
0.19912454,7.6232677,Square Wave
2.200835,9.1129465,Square Wave
0.22545192,7.555458,Square Wave
2.8478787,9.184705,Square Wave
0.23603822,7.6481013,Square Wave
0.62910444,8.046864,Square Wave
1.3454409,8.45309,Square Wave
0.59776044,7.9872646,Square Wave
0.3044607,7.578133,Square Wave
0.40792364,7.54758,Square Wave
2.5705853,8.112946,Square Wave
