spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
85,73750,7.375,15.337423312883438,0.0652,0.668874667811906,0.17964179393165977,0.48923287388024617,40.560001373291016,101.19700241088867
86,74358,7.4358,16.44736842105263,0.0608,0.6678400516873808,0.257622043217998,0.4102180084693828,40.090999603271484,100.75899887084961
87,74761,7.4761,24.813895781637715,0.0403,0.6632905326841865,0.17511634797847364,0.48817418470571283,40.185001373291016,100.50900268554688
88,75259,7.5259,20.080321285140563,0.0498,0.6716436565082404,0.18304096031206427,0.48860269619617613,40.935001373291016,101.88500213623047
89,75835,7.5835,17.36111111111111,0.0576,0.6693478970904835,0.24356794115301456,0.4257799559374689,40.71699905395508,101.3849983215332
90,76533,7.6533,14.326647564469914,0.0698,0.675021958295838,0.16044851819606265,0.5145734400997753,39.65299987792969,100.54000091552734
91,77127,7.7127,16.835016835016834,0.0594,0.6538674140407238,0.19384241694788215,0.46002499709284167,41.68600082397461,102.97999954223633
92,77718,7.7718,16.920473773265652,0.0591,0.6664342442978523,0.22091989611944882,0.44551434817840346,41.12300109863281,102.16699981689453
93,78437,7.8437,13.908205841446453,0.0719,0.6671335171573446,0.25483631463139317,0.4122972025259514,40.560001373291016,101.47800064086914
94,79085,7.9085,15.4320987654321,0.0648,0.649000925985456,0.20068622905237135,0.4483146969330846,41.68600082397461,102.94800186157227
95,79739,7.9739,15.290519877675841,0.0654,0.6578091171904816,0.17830696635355708,0.47950215083692455,41.49800109863281,102.51000213623047
96,80277,8.0277,18.587360594795538,0.0538,0.6657076076386147,0.25795055850612697,0.4077570491324877,40.560001373291016,101.54100036621094
97,80923,8.0923,15.479876160990711,0.0646,0.6675136111211032,0.17213843522476963,0.4953751758963335,41.31100082397461,101.97900009155273
98,81648,8.1648,13.793103448275863,0.0725,0.6584838264388964,0.1782251039709081,0.4802587224679883,42.21799850463867,103.5739974975586
99,82262,8.2262,16.286644951140065,0.0614,0.6754684575003921,0.1620063967318856,0.5134620607685065,40.935001373291016,102.07200241088867
100,83097,8.3097,11.976047904191615,0.0835,0.6510822229625773,0.19133987989480375,0.4597423430677736,42.749000549316406,104.16799926757812
